uniqueID;Spec;Plotname;DBH;CBH1;CBH2;CD1;CD2;meanCD;State;SpecGroup;Height;realX;realY;realZ
BR01_645;QuePet;BR01;8,2;4,5;7,2;2,6;4;3,3;alive;Broad-leaved;10,672;476762,049;5429093,979;257,367279
BR01_646;QuePet;BR01;17,6;5,5;5,5;4,7;5,4;5,05;alive;Broad-leaved;14,542;476754,834;5429100,75;254,913574
BR01_647;QuePet;BR01;16,3;2,1;4,7;3,8;3,5;3,65;alive;Broad-leaved;13,658;476756,711;5429099,302;255,314285
BR01_649;QuePet;BR01;11,9;4,4;7,3;3;3,9;3,45;alive;Broad-leaved;12,321;476761,0693;5429097,208;256,769104
BR01_65;QuePet;BR01;4,2;1,4;1,4;3;5,3;4,15;alive;Broad-leaved;4,551552193;476752,7565;5429076,858;257,93
BR01_650;QuePet;BR01;10;5,8;6,6;2,4;2,6;2,5;alive;Broad-leaved;11,958;476754,8075;5429103,366;254,379684
BR01_651;AceCam;BR01;6,4;1,1;1,1;3,9;3,6;3,75;alive;Broad-leaved;6,767;476755,6133;5429103,762;254,481
BR01_652;AceCam;BR01;6,4;1,1;1,1;6,5;6;6,25;alive;Broad-leaved;7,031;476757,5725;5429102,719;254,985321
BR01_653;FagSyl;BR01;5;0,8;0,8;5,5;3,8;4,65;alive;Broad-leaved;5,955055925;476755,12;5429103,501;254,53
BR01_654;QuePet;BR01;12;1,7;3,8;4,8;4,2;4,5;alive;Broad-leaved;13,09298522;476755,7446;5429099,924;255,01
BR01_656;CarBet;BR01;8,5;1,4;1,4;4,2;4;4,1;alive;Broad-leaved;8,79142432;476758,5972;5429099,716;255,78
BR01_657;QuePet;BR01;5,4;3,3;5;2,2;2,8;2,5;alive;Broad-leaved;5,934239838;476759,8995;5429097,937;256,21
BR01_659;QuePet;BR01;12,1;3;3;2,1;3;2,55;alive;Broad-leaved;13,18849092;476738,7776;5429060,458;256,91
BR01_66;QuePet;BR01;7,5;2;2;5,8;3,7;4,75;alive;Broad-leaved;8,362566399;476754,292;5429074,425;258,62
BR01_664;PicAbi;BR01;15,9;0,4;10,6;2,5;2,8;2,65;alive;Coniferous;16,873;476736,55;5429068,323;255,778885
BR01_666;PicAbi;BR01;19,6;0,2;9;3,8;3,2;3,5;alive;Coniferous;18,258;476748,8984;5429062,093;258,763794
BR01_667;PicAbi;BR01;14,9;0,5;2;5;5,8;5,4;alive;Coniferous;13,77771755;476762,0902;5429040,564;263,07
BR01_668;PicAbi;BR01;12,8;0,6;6,4;3,7;4,3;4;alive;Coniferous;13,979;476763,91;5429043,27;263,247742
BR01_669;PicAbi;BR01;16,1;1,1;6,4;2,8;3,5;3,15;alive;Coniferous;14,715;476761,9585;5429044,234;262,833008
